,source,target,edge
0,controls  that,mitochondrial  dynamics,resulted
1,groups strabismus results,visual ETDRS acuity,similar
2,year follow-up year three,increase,continue
3,age,long-term scoring outcome,noted
4,women print who,tailored  print,effective
5,findings,bleeding  sources,showed
6,1-year  mortality,emergency laparotomy,%
7,probit model CHOPIT model,two  changes,provided
8,age-related  cIMT,further  relationship,identical
9,stay ward stay This,23 stay hours,resulted
10,period police traffic enforcement,traffic fatalities,suggest
11,complications  Patients,FH,differed
12,fibrosis  Differences,0.00049,marked
13,significant family change,ordered family tests/referrals,was
14,Significant EUS differences,= EUS .04,were
15,mode,application  relief,confirmed
16,LRT group Serum values,Kaplan-Meier  method,were more
17,Fearful influenza Uninformeds,ever influenza vaccine,received
18,Experimental learning curve,whole porcine space,cases
19,risk factors regression dilution ratio,0.013,CI
20,79.2 ED discharges casualties,medical  treatment,necessitate immediate
21,significant  relationship,outcome,present
22,those smoking who,household smoking ban,depressed
23,accurately  they,higher c-index values,calculated
24,syndromes  teeth,odds ratio,associated
25,respectively  improvement,acuity  history,occurred
26,other  differences,two  clusters,observed
27,disease-specific  p,watchful univariate waiting,factor
28,hair loss,loss,distorted
29,strongest body weight correlations,scan levels freeform curve region,recorded
30,HBO group HBO difference,statistical  significance,reach statistical
31,treatment tissue Differences,when  development,found
32,specific  concerns,students  differences,related
33,acupuncture group acupuncture which,significant  reduction,noticed
34,Neurological Surgeons WFNS grade,Rankin  difference,showed
35,staff staff This,practices information facility,associated
36,cancerous volume doubling foci,lower  incidences,suggested
37,follow-up  Women,insurance  1,likely
38,Preliminary quantification assays,pollen  taxa,performed
39,DM patients DM PET,higher detection power,showed
40,LASIK corneal SBK,still  short-,has
41,tumor  study,0.049,persisted
42,49  Detection,49  %,sensitive
43,11 SM P,0.009,higher
44,control  frequency,control  subjects,related
45,very intraperitoneal Ligation,available  devices,achieved
46,Mean  hospital,range,stay
47,respectively  Creatininaemias,acute leukocyte antigen time,P<0.05
48,HMOs PMPM Savings,PMPM expenditures,seen
49,1.2 carotid who,perioperative  strokes,concomitant
50,patients mesocolon invasion who,incurable  factors,better
51,Other % variables,operative blood loss,associated
52,regression model regression use,case-referent  study,predictor
53,pregnant  women,Double Awkward condition,rated
54,pain management pain 2,study accident mechanism,was
55,desire  correlations,mass  spectrometry,identified
56,significant mastectomy difference,tissue expanders tissue removal,was
57,that,HPV,negative
58,0.21  LOS,0.0003,estimate
59,significant  differences,predilatation,were
60,numerous  reasons,gamble,miscalculate
61,abuse childhood behavior data,associations,gender
62,incorrectly  they,incorrectly  medication,stated
63,P,0.25,s.
64,best  trade-off,first  reading,ranged
65,edge  that,all xerosol boys,considered
66,new  diagnosis,6 % colonoscopy,made
67,IADL disability,dementia,showed
68,risk factors infection rate,infection rate,%
69,average  children,patients word descriptions,recognized
70,actual hearing loss,history  loss,profited
71,however ASO levels,infections  effect,found
72,additive cancer cell effect,days ATP-chemosensitivity test,measured
73,head mean difference,distances,mm
74,thickness,significant polyethyelene effect,revealed
75,analysis lymph node involvement,analysis  impact,identified
76,deaths  n,206,evident
77,likely at<34 who,AC,women
78,moderate waist correlation,significant  correlation,was
79,cervical  length,.001,shorter
80,group % We,data,had
81,actually  aripiprazole,aripiprazole  algorithm,probability
82,< 25 < chloroquine,class II MHC class expression,decrease
83,local control rates,chemotherapy,%
84,patients  who,clinical  hydrocele,developed
85,least  street,only  condition,accurate
86,clinical  course,as  review,presented
87,effects  Knowledge,reason  habit,high
88,tinnitus  effect,substantial  improvement,maintained
89,eosinophilic  asthma,raised  fibrinogen,raised
90,condom use condom sales,14  increases,reported
91,two  isolates,distinct  strains,showed
92,1 year mortality,6.1 fB-glu<6.1 mmol/L,area
93,Overall tumor stage,change,changed
94,r,0.131,were slight
95,excise tax increase,policy authority,resulted
96,0.5 34 which,eosinophilic  esophagitis,had eosinophilic
97,severe hypoglycaemia hazard,0.007,higher
98,Radiological  findings,radiographic transition zone,determined
99,department encounter emergency department studies,additional  benefits,found potential
100,group  percentage,screen  cancer,lower compared
101,RIAs ECL Adding,characteristic risk curves,improved
102,cases index expert,similar  results,agreed
103,statistically bone p,0.17,different
104,Moderate  hypermetropes,refractive  error,demonstrated
105,gradient  relationships,survival time,were significant
106,God breast that,behaviour breast culture,seen
107,when  source,more  accidents,identified
108,patients NA differences,patients NA CR/PR,were
109,patients  who,bezafibrate,tended
110,baseline time relationship,leadership  quality,mediated
111,days  who,contaminated  products,died
112,surgery CA n,=  survival,had
113,gastric blood glucose Those,negative  degree,presented
114,fact angiotensin receptor blockers,15.9  time,seemed
115,GERD symptoms Group B,additional % EWL,exhibited
116,physician p,.04,associated
117,% CI p,0.04,revealed
118,Four  cases,emergency surgical emergency procedures,re-categorized
119,effects logistic effects regression,different  patterns,revealed different
120,variables disease these,significantly disease activity,lower
121,significant  differences,=  0.002,parameter
122,group  IL-10,similar  measurements,remained
123,respectively risk group categorization,scale  pain,developed
124,TTN ADRB2 p,0.048,showed significant
125,86\xa0 health Patients,more reference group:>1000\xa0min,likely
126,postoperative  infection,spinal  surgery,developed
127,hypertension  p,0.1,pronounced
128,expert  n,30,showed
129,somatic SCL-90-R somatization complaints,self-reported SCL-90-R somatization symptoms,predictor
130,capture-recapture hospital calculation,prevalence,suggests
131,diabetic heart population,200 mm Hg,studied
132,Probabilistic sensitivity analysis,50 % probability,showed
133,Economic South inequalities,economic  inequalities,used
134,Geographic tract regions,frequently poverty rate,had
135,WBC,significance,revealed
136,cortex stimulation a-tDCS a-tDCS,such  excitability/connectivity,applied
137,Finally  group,more  patients,had more
138,symptomatic  P,0.0001,predict
139,samples brain LITT,IgM. HPLC IgM. passage,induces
140,whom  it,surgical  approach,useful
141,axis,right-ear-down left-ear-down either,indicate
142,harm Medicine Working Review,reports % validity,weakened
143,repeat infections repeat site,subsequent  serovar,appear
144,study evaluation students,higher  ratings,gave significant
145,intermediate staining grade,hyperplasia vessel loss,showed
146,Four health behaviors,significant drinking correlation,exhibited
147,baseline antral cancellation rate,follicle follicle 6,higher
148,contrast  gradients,%  steeper,shallower
149,unicompartmental Quadriceps tension,unicompartmental  arthroplasty,similar
150,cancer patients correlation analysis,leptin values serum leptin association,show
151,women pregnancy who,asthma ED visit,predictor
152,mutant cell channels,leftward  shift,showed
153,Health status-adjusted Health models,cm per cm increase,similar
154,hypertensives  QTcD,LVH,able
155,95 type %,arch  angle,confirmed
156,median MASCC score,predictive  value,26
157,scare  Factors,local failure patterns,greater
158,distal  change,reduction,marked
159,In-hospital ICU rates,0.9557,mortality
160,NPV=74.1 Sn=72 CP+=2.16,0.420,gave
161,children  who,least community ambulatory,show
162,Gestational  age,0.05,comparable
163,=  Regions,SRF  areas,overlapped
164,Regional birth data,higher stillbirth rate,showed
165,days Hydroxyproline levels,8  rats,better
166,total  correlation,correlation,was
167,hematologic complication complications,major cancer surgeries,higher
168,respectively discomfort P,= discomfort 0.3,=
169,16 degrees Two,monitoring refrigeration temperatures,refrigerators
170,histologic tumor p,0.002,frequent
171,thorough  investigation,other  reason,uncovered
172,they,higher  levels,reported
173,significant dif ference,120Â  °,was
174,consistent patient pattern,=  0.02,was
175,0.36 P sCTX,post hoc analysis,correlated
176,inotrope support inotrope Implementation,mechanical  ventilation,associated
177,male husband education gender,significant  difference,found
178,clear IL-15 relationship,cell populations uNK cell relationship,observed
179,total procedure time,recurrence,double
180,large  size,follow-up  examination,related
181,PMS mediation effect,significantly health care performance,p\u2009<\u20090.001
182,Side pain effects,only  Pethidin,occur
183,account insulin P,0.550,associated
184,analysis operation time,significant  impact,had
185,controls hospital admissions rates,diagnostic  tests,higher
186,addition A. schaalii,equivalent 10(6 CFU/mL,performed
187,rheumatoid kidney Trends,pulmonary  differences,showed
188,appropriate  actions,satisfactory  response,improved
189,lower  dose,0.1,chosen
190,mixed models analysis,significant  differences,revealed
191,n,47,was
192,one  Stenting,ureteroscopy YAG laser lithotripsy,done
193,respiratory care practitioners,poor  understanding,knowledgeable
194,individuals space differences,mean space closure,small
195,measles Ninety-nine residents,full  immunization,had full
196,lesions  differences,high-grade  koilocytosis,significant
197,Most  patients,however  doctor,want
198,actuarial  survival,TEE,%
199,prophylactic edaravone treatment,oxidative  stress,revealed
200,NIHSS Spearman rank correlation,relation,0.72
201,recovery  patient,permanent  weakness,developed permanent
202,previously Young-Burgess P,0.3,%
203,season,= 25(OH)D 0.7,confounder
204,time response individuals,95 % CI,was
205,cholestasis/cirrhosis  Cholestasis,biliary  atresia,resolved
206,additional Â£30 research,uncertainty,million
207,officers information They,new  guidelines,developed new
208,1.49  it,detectable  differences,yielded smallest
209,median,lesions core sensitivity,sensitivity
210,significant 90Â differences,inter-radicular t space,found
211,AKT  r,0.526,used
212,Total  DAR,potential % alert,greater
213,Axis I Axis diagnosis,social coping strategies,predicted
214,pentosidine  pentosidine,weakly  P<0.05,indicated
215,58 milk DNA,human milk specimens,evaluated
216,prognostic  impact,ascites,had
217,prognostic weight Survival,cytostatic ECOG treatment,weeks
218,ropivacaine hydrochloride ropivacaine patients,side  effects,suffered systemic
219,significant risk factors,3  months,depression
220,OAB-q SS change scores,difference,revealed
221,total healthcare number,second-line  treatment,costs
222,risk,quality-adjusted life expectancy,preferred
223,5  peroperative,stones  sizes,were
224,usual  physician,medical  needs,has
225,Functional Reach Test,postural assessment stability,suggest
226,.016 driving Time-to-treatment,.037 driving 1.270,associated
227,protective  effect,case-control  DS,found
228,mental  health,0.59,likely
229,anterior-posterior groups UTC response,good tendon function,seen
230,procedure  patients,fragile  mucosa,remained asymptomatic
231,postoperatively contact surface,components  migration,ranged
232,15  patients,values<0.40  RVEF,>
233,membranous expression pattern,p53 expression,membranous
234,regardless motor neuron they,similar motor neuron pattern,had
235,13\xa0months  We,mild  fibrosis,observed mild
236,Many mania symptoms,= episode 2.3]years,prevalent
237,% accuracy Cross-validation,accuracy rate,proved
238,it,headgear,mandatory
239,gradually  she,neurologic  symptoms,subsided
240,Average ROC accuracy,0.85 ROC Â±,ranged
241,remaining  13,word  difficulties,performed
242,DST DST treatment,drug-resistant  TB,modified
243,tumors cell P,1.5 T unit,differentiable
244,P ET-1 concentration,P predialysis NS,changed
245,suicidal substance effects,suicidal substance behavior,differ
246,treatment time,treatment decisions,decreased
247,testing warfarin practice,positive  bias,showed
248,limitations role age,significant disease correlation,showed
249,higher Gleason difference,higher Gleason score,found
250,improved catheter documentation,77 % reduction,identified
251,related MED none,related MED problems,died
252,82  Two,root canal root treatment,required
253,95 % confidence Comparison,two  levels,revealed
254,NICPR  five,follow-up  CP,found
255,mm melanomas mm p,0.1456,is
256,trend % confidence association,5-year breast cancer mortality,stronger
257,p,= NT 1.54,was
258,case-control transmission disequilibrium analyses,odds % ratios,was
259,Five-year resection survival,univariate Cox analysis,%
260,p,interpersonal AOA subsection,correlated
261,counterparts  effect,account baseline association,decreased
262,group  target,economical  incentives,perceives economical
263,Overall Bolton discrepancy,ANOVA,prevalent
264,LEEP knife cone P,.001,g
265,genotype cell wall De-acclimation,leaf most,promoted
266,comorbid  results,clinical  groups,associated
267,landmark group landmark results,83.5 access %,similar
268,Longitudinal weight changes,significant  association,had
269,values  differences,decreased  VO2max,observed
270,only  p,significantly  levels,tended
271,seizure  onset,group word reading,associated
272,respectively organ Gender,independent risk factor,remained
273,course cancer participants,increased  sensibility,described multiple
274,Delayed Confidence TPT,overall  survival,affect overall
275,mean pulsatility index,sonographic  markers,calculated
276,procedures home estimates,wide confidence intervals,larger
277,Independent access factors,total,index
278,pyloric muscle mucosa,pyloric  canal,constitutes
279,0.96  others,correlation,correlated
280,men  associations,inverse  relationships,indicated
281,Less health care weight,less health care weight,given
282,mild fracture group,higher satisfaction rate,had
283,nutritional status improvements,immunization services immunization association,associated
284,PAN  patient,diagnosis,remains free
285,One,tolerance,negative
286,nonsmokers % Sensitivity,diagnosis,similar
287,42  all,correct  diagnosis,achieved
288,therapists  trainer,strong  alliance,blind
289,commonest  reason,fitness category,reasons
290,p,0.90,modalities
291,0.93  movements,0.019,assessed
292,years  prevalences,different KiGGS distribution,found
293,Supplementary drinking analyses,patterns,confirmed
294,Exploratory  study,0.004,duration
295,2  patients,85  %,stayed
296,Analysis,close  agreement,0.94
297,small patient cohort,side  effects,reported side
298,significant survival differences,"10,141",consistent
299,%  P,0.004,sex
300,dry arm circumference,1.7  Â±,documented
301,"100,000 10 Differences",Netherlands Onandjokwe Data,characterized
302,LNM lymph number,prognostic DFS rates,factors
303,wound cultures wound transmission,1 BSI episode,were
304,0.05 HIV infection,0.18  cm,associated
305,contacts  Changing,patient contacts patient PHQ-9,led
306,social  P,0.004,investigate main
307,mean  day,statistics Civil techniques,seems
308,settings endotracheal chi,2  0.3,significant
309,Metastatic  carcinoma,uncommon  association,discarded
310,7.9  those,greater  improvement,tended
311,multiple cycle PR,non-conception  COS-IUI,highest
312,groups  differences,respective image qualities,significant
313,detection rates Interobserver agreement,strong  correlation,showed
314,29 S.D. which,positive  relation,found
315,Severe liver damage,liver disease liver rate,frequent
316,main  reasons,often  participants,lack
317,p,0.15,showed better
318,perceived team efficacy,relationship,appear
319,Thirteen replacement patients,5  remission,underwent
320,voluntary bedside cough,%  specificity,gave
321,Seventy-three  percent,expert  evidence,consider
322,However time leaving,negative % tests,resulted
323,same lung cancer type,study  properties,observed
324,=  r,0.26,correlated
325,54.1+/-6.7 55.8+/-9 mm,aortic dacron wall,smaller
326,statistically  p,0.07,similar
327,police assault Data,severely  patients,suggest
328,25 % %,Volume mm)x(width mm)x(height mm,became smaller
329,cases  we,procedure  surgery,performed
330,Finally  results,effects,robust
331,population physician reviewers,record,level
332,upper gland Histology,primary  tumour,used
333,other physician groups,radiation education lectures,requested
334,regions West rejection,prior  research,complements prior
335,moderating  effect,soda,found
336,39.8  %,opinion,believed
337,non-AD intensity reproducibility,also AD differences,satisfactory
338,p,0.31,different
339,1.116  p,0.035,demonstrated
340,women expression who,uniform  expression,were considerable
341,Algorithms,high  rates,presented high
342,commonest  ports,64.44 406.00 s,showed
343,longer  hospital,little  impact,showed early
344,39  accuracy,significantly  levels,%
345,educational program value,completed  surveys,5.8/7
346,1 c-index values,concordance index,models
347,significant LS group p,0.21,age
348,aortic  stenosis,0,probable
349,automatic transmission transmission,older driving behavior,improved
350,families birth Men,increased  risk,born short
351,site problems wound site mortality,amputation,encountered
352,81.6 % use,independent 0.038 ambulation,showed
353,concurrent case change,case follow-up case improvements,was
354,significant  differences,OA,were
355,patients vitamin D3 level,normal  value,found
356,differences bias Lack,P\u2009=\u2009.54 bias lack,confirmed
357,1.1 % confidence p,0.02,identified
358,additional ploidy case,diagnostic hydatidiform criteria,mole
359,13  children,subsequently  splenectomy,remain
360,EPSCCs multivariate EPSCCs analysis,age,revealed
361,Qualitative  analysis,better lesion conspicuity,indicated
362,7 germ cell we,seminiferous  tubules,identified seminiferous
363,opioid pain intensity Patients,higher response values,showed higher
364,% lecture VODcasts,lectures,missed more
365,associations sensitivity associations,non-paternity sensitivity robustness,similar
366,2.48  P,0.57,was
367,metaplasia  sensitivity,intestinal  metaplasia,77.8
368,metastasis status,significant  influence,impaired
369,diagnosis  difference,=  .004,worse
370,age groups age impact,44  years,decreased
371,physiological glucose Cyclosomatostatin,insulin secretion,increased
372,pregnancies RhD 2/230,significant  thrombocytopenia,had
373,4.2  differences,statistical  significance,found
374,vaccination  This,,case
375,baseline levels baseline we,significant  increase,noticed
376,intercourse  Individuals,higher  odds,had
377,82.6  %,24  hours,showed
378,predictive weeks value,95 twin %,%
379,MDD risk Being,psychological  symptoms,factors
380,implantation  Chemotherapy,implantation  CLABSI,administered
381,IC group IC Fear,hypoglycemic  events,differ
382,PAR  lack,adhesive reference capsulitis,measured active
383,when Â± fusion,guidelines,increased
384,% S. CB,bactericidal  activity,had
385,50 y women,19.86 % %,lowest
386,SSO Disease HW-RAT,risk,overestimated
387,pediatric airway BVM,tidal  volumes,provided lower
388,predictive  values,senior  CPE,correlated
389,illness  who,attitudes recovery journey,important
390,prophylactic NG difference,prophylactic NG decompression,significant
391,HR,HR  =,factor
392,hsCRP quartile hsCRP relationship,1.0 carotid IMT mm,related
393,major pT1 limitations,predictive pT1 role,design
394,total 0.25 clearance,comparative Profiles plasma,L/h
395,measurement points measurement percentage,decrease,diminished
396,case series RP,75  QALE,preferred
397,endocrinological  outcome,37  patients,compared
398,-2.8  P,higher baseline weight,was
399,DBE group OGIB patients,DBE  24\u2009h,approach
400,3  TSH,cold,reduced
401,psychotic  patients,high  comorbidity,displayed significant
402,nonhospice  residents,1.68 % 2.56,likely
403,However accommodation trainees,increase,suggested
404,binge episodes binge association,isolated motor episodes,observed
405,9.1 hemoglobin P,=  .0001,follows
406,time trough time P,0.070,were
407,98.3  PPIs,yearly  prescriptions,observed
408,qualitative student confidence results,similar  findings,conducted
409,IUD insertion failure,mean,showed
410,injury  Patients,nonoperative extension management,likely
411,models cost impacts,models  value,controlled
412,prescription-to-administration prescription times,152  episodes,shorter
413,location  age,patients  orchiopexy,significant
414,women  which,two-,increased
415,mean  duration,more  children,differed
416,units  p,0.006,higher
417,significant patient difference,aortic annulus area,was
418,clinical tract indications,range 34.8 range 39.6\xa0s,stated
419,However hormone polyps,similarly  levels,increased
420,atrial  diameter,ventricular wall mass,correlated
421,67.5  %,misty  prevalence,classified
422,23  most,medical  clearance,symptomatic
423,significant heat mild,significant heat production,were mild
424,regimens ART p,0.007,receiving third-line
425,0.97  deaths,ischemic  attack,were
426,passing temperature rate,quality standards,%
427,hospitalization Weekend patients,0.38 percentage point increase,experience
428,mean  time,aged  30,months
429,HIV-positive  patient,them  ranulas,suggest
430,term pregnancy term difference,286  women,found
431,discharge community appropriateness,discharge coordinator discharge quality,was
432,bypass surgery bypass None,24  hours,had
433,factors % Analyses,1.7 % 3.7,yielded similar
434,various immunoassay We,hCG participant results,analyzed
435,dB hearing P,.242,cause significant
436,factors  that,independently  self-reports,higher
437,interim  findings,sound  base,provide
438,very-low-risk ATA patients,excellent  response,demonstrated excellent
439,model  Changes,audit processes audit model,essential
440,multivariate PSA analysis,association,relativized
441,Daumas-Duport WHO classification system,predictive WHO classification value,found
442,1.8  they,$,aged
443,IONM IONM group,trend,showed
444,fears,similar  levels,demonstrated
445,significant  differences,as  those,excluded
446,significant Cognitive Examination differences,probable MRI AD,CAMCOG
447,respectively arm probability,complete  response,more
448,Association functional Heart Association class,ventricular  segments,improved
449,Finally  variety,98  days,performed
450,correlation,pair-matched power analysis,found
451,perfusion  that,ten-fold  increase,showed
452,kind  this,hazard survival variables,â¢
453,neurologic  impairments,surgical  treatment,observed
454,1.36 % ETA,= % 3.21,predictor
455,26  %,30 % decrease,had
456,Additionally surgeon experience,when  outcomes,predictive
457,findings,0.001,replicated
458,simulated treatment RCTs,clinical  effect,had
459,hospital treatment presence,coronary revascularization revascularization,associated
460,number  who,corresponding  concerns,identified
461,120kV mean CT attenuation values,CT scanners,different
462,laminoplasty extension change,extension range,lost
463,PR  this,staining,exhibited
464,we,hematopoietic stem cell transplantation,showed
465,= drug p,0.022,taking multiple
466,OraQuickÂ ® HIV-1/2 Assay,90 % sensitivity,reported
467,latter group eosinophil counts,patients,carried
468,< 10 < which,symptoms,asymptomatic
469,diverting loop ileostomy,procedure,created
470,Similarly ACE risk,Epi Info version,associated
471,78.0 Symptom Rating Scale,total  scores,scores
472,limb salvage rate,semiclosed  endarterectomy,%
473,math stressor math p,0.042,noted
474,Serial epilepsy analysis,period  decrease,revealed
475,29 cue effect,still alcohol consumption,increased
476,whites influenza Eliminating,racial  disparities,cut racial
477,overall survival rates,significance,%
478,infection control subgroup analysis,retention group polyethylene factors,factor
479,when  they,bilateral male foci,disappeared
480,same  P,same  therapy,received
481,significant  association,abdominal  exploration,found
482,sensorimotor polyneuropathy sensorimotor Two,high  HAM/TSP,showed high
483,significant gender P,.69,used
484,days  patients,wound,cured
485,factors  risk,association,CI
486,instances  PaCO(2,84  %,able
487,marked  difference,ovarian  endometrioma,observed
488,Five PCL knees,Â± 4 Â± mm,considered
489,English  respondents,other  remedies,reported
490,irradiated nerve p,0.018,correlated
491,hematocrit levels hematocrit difference,specific concentration trends,influenced
492,tumors survival which,poorer survival rate,had poorer
493,doses 5-HT2 occupancy,D2 occupancy,showed
494,remaining NAC ears,otorrhea,exhibited
